ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8120983	0.0001221	1.01e-06	-3.40e+01	6.83511	-3.48713009	HTR1E	5-hydroxytryptamine receptor 1E
8045208	0.0000726	2.50e-07	4.60e+01	8.22665	3.48297467	POTEF///POTEJ///POTEM///POTEE///POTEKP	POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene
8057418	0.0000605	1.53e-07	5.12e+01	8.67362	3.47362708	ZNF385B	zinc finger protein 385B
8161460	0.0000905	5.10e-07	3.94e+01	7.53657	3.47343511	CNTNAP3B///CNTNAP3P2///CNTNAP3	contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3
7976073	0.0000718	2.30e-07	-4.68e+01	8.30319	-3.47233314	FLRT2	fibronectin leucine rich transmembrane protein 2
8106827	0.0000952	5.71e-07	3.84e+01	7.42185	3.46762095	ADGRV1	adhesion G protein-coupled receptor V1
8109926	0.0000552	9.57e-08	-5.66e+01	9.07776	-3.46252229	GABRP	gamma-aminobutyric acid type A receptor pi subunit
8022692	0.0000553	1.05e-07	-5.55e+01	8.99872	-3.45206389	DSC3	desmocollin 3
8088642	0.0000552	9.90e-08	5.62e+01	9.04936	3.44941107	LRIG1	leucine rich repeats and immunoglobulin like domains 1
8064894	0.0000771	3.11e-07	-4.39e+01	8.01924	-3.44054441	LRRN4	leucine rich repeat neuronal 4
7979357	0.0000931	5.38e-07	3.89e+01	7.48146	3.43916957	OTX2	orthodenticle homeobox 2
8121850	0.0000613	1.60e-07	-5.07e+01	8.63362	-3.4223974	HEY2	hes related family bHLH transcription factor with YRPW motif 2
7933092	0.0000667	1.87e-07	-4.90e+01	8.49223	-3.42231533	ZNF248	zinc finger protein 248
8166747	0.0000796	3.53e-07	-4.27e+01	7.89592	-3.4047231	SYTL5	synaptotagmin like 5
8001800	0.000087	4.44e-07	-4.06e+01	7.67301	-3.39564008	CDH11	cadherin 11
8142580	0.0000897	4.91e-07	3.97e+01	7.57293	3.39007678	FEZF1	FEZ family zinc finger 1
8044353	0.0000667	1.85e-07	4.91e+01	8.50218	3.38570779	ACOXL	acyl-CoA oxidase-like
8077899	0.0000605	1.55e-07	-5.10e+01	8.65966	-3.38226289	PPARG	peroxisome proliferator activated receptor gamma
8177628	0.0000786	3.40e-07	-4.30e+01	7.93187	-3.38144683	CCDC125	coiled-coil domain containing 125
7939052	0.0000931	5.42e-07	-3.89e+01	7.4757	-3.37828718	FIBIN	fin bud initiation factor homolog (zebrafish)
8120194	0.000187	2.33e-06	-2.83e+01	5.94578	-3.36741702	TFAP2B	transcription factor AP-2 beta
8091537	0.0001099	7.82e-07	-3.59e+01	7.10263	-3.36322055	IGSF10	immunoglobulin superfamily member 10
8161513	0.0001974	2.59e-06	-2.77e+01	5.82837	-3.35146585	PGM5P2///PGM5	phosphoglucomutase 5 pseudogene 2///phosphoglucomutase 5
7979133	0.0000566	1.19e-07	-5.40e+01	8.89289	-3.34261957	NID2	nidogen 2
8089544	0.0000758	2.90e-07	-4.45e+01	8.08407	-3.33978371	CCDC80	coiled-coil domain containing 80
8022283	0.0000718	2.25e-07	-4.71e+01	8.32363	-3.33730191	PIEZO2	piezo type mechanosensitive ion channel component 2
8023043	0.0000602	1.44e-07	-5.18e+01	8.72455	-3.32976192	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
7908388	0.0004509	1.23e-05	-1.97e+01	4.07456	-3.32206583	RGS1	regulator of G-protein signaling 1
8113726	0.0000726	2.57e-07	-4.57e+01	8.2001	-3.32099761	PPIC	peptidylprolyl isomerase C
8151240	0.000118	9.38e-07	3.45e+01	6.91421	3.31694984	PRDM14	PR/SET domain 14
8122202	0.0000602	1.38e-07	5.23e+01	8.76233	3.31459171	MYB///MYB	MYB proto-oncogene, transcription factor///MYB proto-oncogene, transcription factor
8110478	0.0001472	1.39e-06	-3.17e+01	6.49867	-3.30092773	ZNF454	zinc finger protein 454
7946757	0.0001666	1.81e-06	-2.99e+01	6.21844	-3.28425983	SOX6	SRY-box 6
8007643	0.0004824	1.38e-05	1.92e+01	3.93851	3.2680382	MEIOC	meiosis specific with coiled-coil domain
8124394	0.0001099	7.80e-07	-3.59e+01	7.10527	-3.26237754	HIST1H2BB	histone cluster 1, H2bb
8100393	0.0000605	1.52e-07	-5.13e+01	8.68113	-3.26152205	KDR	kinase insert domain receptor
8127130	0.000078	3.32e-07	-4.32e+01	7.95675	-3.25661986	GCM1	glial cells missing homolog 1
8145097	0.0001646	1.76e-06	-3.01e+01	6.24688	-3.25120186	PIWIL2	piwi like RNA-mediated gene silencing 2
8163637	0.0001064	7.31e-07	-3.64e+01	7.17191	-3.24713829	TNC	tenascin C
8007921	0.0001661	1.80e-06	-3.00e+01	6.2248	-3.23593443	MYL4	myosin light chain 4
8170179	0.0001717	1.94e-06	-2.95e+01	6.14069	-3.21784737	VGLL1	vestigial like family member 1
7956522	0.0000602	1.46e-07	5.17e+01	8.7163	3.20204858	KIF5A	kinesin family member 5A
7989159	0.0000761	2.94e-07	-4.44e+01	8.07087	-3.19831529	ZNF280D	zinc finger protein 280D
8088285	0.0001536	1.52e-06	3.11e+01	6.408	3.19633838	HESX1	HESX homeobox 1
8082597	0.0004187	1.08e-05	-2.03e+01	4.2206	-3.18098354	COL6A6	collagen type VI alpha 6 chain
8112139	0.0000718	2.27e-07	-4.69e+01	8.31382	-3.17571222	IL6ST	interleukin 6 signal transducer
7917850	0.0000806	3.84e-07	-4.19e+01	7.81524	-3.17539869	ARHGAP29	Rho GTPase activating protein 29
8121916	0.0002501	4.09e-06	-2.51e+01	5.3218	-3.16858698	RSPO3	R-spondin 3
7988767	0.0002597	4.43e-06	-2.46e+01	5.2324	-3.16624901	CYP19A1	cytochrome P450 family 19 subfamily A member 1
8145865	0.0001116	8.26e-07	-3.55e+01	7.04642	-3.1622422	ADGRA2	adhesion G protein-coupled receptor A2
7941662	0.0000897	4.90e-07	3.97e+01	7.57544	3.15987868	ACTN3	actinin alpha 3 (gene/pseudogene)
7962455	0.0000667	1.86e-07	4.90e+01	8.49626	3.15460641	NELL2	neural EGFL like 2
8112439	0.0002637	4.60e-06	-2.44e+01	5.19111	-3.15451362	CCDC125	coiled-coil domain containing 125
7970676	0.0004001	9.94e-06	2.06e+01	4.31788	3.14791809	SHISA2	shisa family member 2
7922268	0.0000667	1.91e-07	-4.88e+01	8.47431	-3.14091963	KIFAP3	kinesin associated protein 3
8147065	0.0002568	4.30e-06	-2.48e+01	5.26731	-3.1213638	RALYL	RALY RNA binding protein-like
7918936	0.0016476	1.12e-04	-1.21e+01	1.49006	-3.11442231	VTCN1	V-set domain containing T cell activation inhibitor 1
8162373	0.0005814	1.89e-05	-1.79e+01	3.57505	-3.11349589	OGN	osteoglycin
7923578	0.0000667	1.89e-07	-4.88e+01	8.48136	-3.10607657	FMOD	fibromodulin
8061013	0.0001557	1.56e-06	-3.09e+01	6.37699	-3.10231474	ISM1	isthmin 1, angiogenesis inhibitor
7971461	0.0000711	2.12e-07	-4.77e+01	8.37917	-3.08962196	LCP1	lymphocyte cytosolic protein 1
8154059	0.0000627	1.67e-07	-5.02e+01	8.59654	-3.08586278	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
8151457	0.0001102	8.01e-07	-3.57e+01	7.07788	-3.08411228	HEY1	hes related family bHLH transcription factor with YRPW motif 1
8046536	0.0002099	2.86e-06	-2.71e+01	5.71798	-3.080541	HOXD10	homeobox D10
8153021	0.0001595	1.68e-06	-3.04e+01	6.29615	-3.07809213	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
8016463	0.0001974	2.57e-06	-2.77e+01	5.8349	-3.05555846	HOXB6	homeobox B6
8174444	0.0002509	4.12e-06	2.50e+01	5.31428	3.05000976	IRS4	insulin receptor substrate 4
7953532	0.0000917	5.22e-07	3.92e+01	7.51295	3.04823517	ENO2	enolase 2
8045664	0.0000897	4.90e-07	-3.97e+01	7.57524	-3.04643072	LYPD6B	LY6/PLAUR domain containing 6B
8175177	0.0001124	8.48e-07	-3.53e+01	7.01868	-3.04279789	MBNL3	muscleblind like splicing regulator 3
7921916	0.0001042	7.07e-07	-3.67e+01	7.20649	-3.0406221	RGS5	regulator of G-protein signaling 5
8102468	0.0000742	2.74e-07	-4.51e+01	8.13996	-3.03749037	PRSS12	protease, serine 12
7908371	0.0001042	7.08e-07	3.67e+01	7.20442	3.03594897	ERVMER61-1	endogenous retrovirus group MER61 member 1
7957861	0.0000711	2.10e-07	-4.77e+01	8.38501	-3.02338484	ANO4	anoctamin 4
7932082	0.0001023	6.68e-07	-3.72e+01	7.2642	-3.02228451	CCDC3	coiled-coil domain containing 3
8087530	0.0000758	2.91e-07	4.45e+01	8.08222	3.01527326	CAMKV	CaM kinase like vesicle associated
8024712	0.000078	3.32e-07	4.32e+01	7.95643	3.01259545	ATCAY	ATCAY, caytaxin
7909494	0.0000771	3.13e-07	4.38e+01	8.01308	3.00917215	SYT14	synaptotagmin 14
7965335	0.0003651	8.36e-06	-2.14e+01	4.51554	-3.00859435	DUSP6	dual specificity phosphatase 6
8122176	0.000258	4.33e-06	-2.48e+01	5.26004	-3.00611336	TCF21	transcription factor 21
7966690	0.0000718	2.31e-07	-4.68e+01	8.29905	-3.00480495	TBX3	T-box 3
7961532	0.0000726	2.63e-07	-4.55e+01	8.17854	-2.9983504	ARHGDIB	Rho GDP dissociation inhibitor beta
8108205	0.0011222	5.99e-05	-1.39e+01	2.22798	-2.9978712	FBXL21	F-box and leucine rich repeat protein 21 (gene/pseudogene)
8106660	0.0000995	6.32e-07	-3.76e+01	7.31966	-2.99570908	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2
8100768	0.0000726	2.51e-07	-4.59e+01	8.22088	-2.99372769	LOC101929773///UGT2B28///UGT2B11///UGT2B17///UGT2B10///UGT2B7///UGT2B4	UDP-glucuronosyltransferase 2B10-like///UDP glucuronosyltransferase family 2 member B28///UDP glucuronosyltransferase family 2 member B11///UDP glucuronosyltransferase family 2 member B17///UDP glucuronosyltransferase family 2 member B10///UDP glucuronosyltransferase family 2 member B7///UDP glucuronosyltransferase family 2 member B4
8150509	0.0001066	7.39e-07	-3.64e+01	7.16145	-2.99352401	PLAT	plasminogen activator, tissue type
8154367	0.0003743	8.77e-06	-2.12e+01	4.46153	-2.99333538	TYRP1	tyrosinase related protein 1
8123678	0.0003186	6.52e-06	-2.26e+01	4.79783	-2.98994606	PXDC1	PX domain containing 1
8147000	0.000152	1.49e-06	3.12e+01	6.42947	2.9890971	ZFHX4	zinc finger homeobox 4
8013341	0.00011	7.86e-07	-3.59e+01	7.097	-2.981929	MFAP4	microfibrillar associated protein 4
7987385	0.0000718	2.23e-07	-4.72e+01	8.3328	-2.98119255	MEIS2	Meis homeobox 2
8056343	0.0001778	2.12e-06	-2.89e+01	6.0452	-2.97900045	COBLL1	cordon-bleu WH2 repeat protein like 1
7983256	0.0000726	2.53e-07	4.59e+01	8.21563	2.97735686	CKMT1A///CKMT1B///CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B///creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B
8051785	0.0000726	2.37e-07	4.65e+01	8.27425	2.97430177	KCNG3	potassium voltage-gated channel modifier subfamily G member 3
8125447	0.0004105	1.05e-05	2.04e+01	4.25169	2.9718833	HLA-DRB1///HLA-DQB1	major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1
8023575	0.0001111	8.15e-07	-3.56e+01	7.06023	-2.96496661	CCBE1	collagen and calcium binding EGF domains 1
7972461	0.0000726	2.40e-07	-4.64e+01	8.26324	-2.95741408	SLC15A1	solute carrier family 15 member 1
8081036	0.0000718	2.31e-07	4.68e+01	8.2991	2.95583429	CADM2	cell adhesion molecule 2
8105013	0.0001194	9.64e-07	-3.43e+01	6.88631	-2.95281652	EGFLAM	EGF like, fibronectin type III and laminin G domains
7963970	0.0001102	8.00e-07	3.57e+01	7.07979	2.95229784	PMEL	premelanosome protein
8001564	0.0000711	2.15e-07	-4.75e+01	8.36634	-2.94987592	DOK4	docking protein 4
8016444	0.0003186	6.51e-06	-2.26e+01	4.80043	-2.94979747	HOXB3	homeobox B3
8033667	0.0002418	3.83e-06	2.54e+01	5.39477	2.94847334	ZNF558	zinc finger protein 558
7976451	0.0001585	1.66e-06	3.05e+01	6.30967	2.94747723	PPP4R4	protein phosphatase 4 regulatory subunit 4
8160168	0.0000847	4.30e-07	-4.09e+01	7.70478	-2.94712627	FREM1	FRAS1 related extracellular matrix 1
7939298	0.0008034	3.31e-05	-1.59e+01	2.924	-2.94535505	CAT	catalase
8104643	0.001717	1.19e-04	-1.20e+01	1.41848	-2.94306659	C5orf17	chromosome 5 open reading frame 17
8019964	0.0000771	3.15e-07	-4.37e+01	8.00693	-2.93823908	ARHGAP28	Rho GTPase activating protein 28
8111915	0.0001204	9.91e-07	-3.41e+01	6.85751	-2.924629	SEPP1	selenoprotein P, plasma, 1
